Número Município Nome
     1 1100015   Alta Floresta D'Oeste           
  1874 3103306   Aracitaba                       
  1875 3103603   Arantina                        
  1876 3103702   Araponga                        
  1877 3103751   Araporã                         
  1878 3103801   Arapuá                          
  1879 3103900   Araújos                         
  1880 3104106   Arceburgo                       
  1881 3104304   Areado                          
  1882 3104403   Argirita                        
  1883 3104452   Aricanduva                      
  1884 3104502   Arinos                          
  1885 3104601   Astolfo Dutra                   
  1886 3104700   Ataléia                         
  1887 3104809   Augusto de Lima                 
  1888 3104908   Baependi                        
  1889 3105004   Baldim                          
  1890 3105103   Bambuí                          
  1891 3105202   Bandeira                        
  1892 3105301   Bandeira do Sul                 
  1893 3105400   Barão de Cocais                 
  1894 3105509   Barão de Monte Alto             
  1895 3105707   Barra Longa                     
  1896 3105905   Barroso                         
  1897 3106002   Bela Vista de Minas             
  1898 3106101   Belmiro Braga                   
  1899 3106309   Belo Oriente                    
  1900 3106408   Belo Vale                       
  1901 3106507   Berilo                          
  1902 3106606   Bertópolis                      
  1903 3106655   Berizal                         
  1904 3106804   Bias Fortes                     
  1905 3106903   Bicas                           
  1906 3107000   Biquinhas                       
  1907 3107208   Bocaina de Minas                
  1908 3107505   Bom Jardim de Minas             
  1909 3107604   Bom Jesus da Penha              
  1910 3107703   Bom Jesus do Amparo             
  1911 3107802   Bom Jesus do Galho              
  1912 3107901   Bom Repouso                     
  1913 3108008   Bom Sucesso                     
  1914 3108107   Bonfim                          
  1915 3108206   Bonfinópolis de Minas           
  1916 3108255   Bonito de Minas                 
  1917 3108305   Borda da Mata                   
  1918 3108404   Botelhos                        
  1919 3108503   Botumirim                       
  1920 3108552   Brasilândia de Minas            
  1921 3108701   Brás Pires                      
  1922 3108800   Braúnas                         
  1923 3108909   Brasópolis                      
  1924 3109105   Bueno Brandão                   
  1925 3109204   Buenópolis                      
  1926 3109253   Bugre                           
  1927 3109303   Buritis                         
  1928 3109402   Buritizeiro                     
  1929 3109451   Cabeceira Grande                
  1930 3109501   Cabo Verde                      
  1931 3109600   Cachoeira da Prata              
  1932 3109709   Cachoeira de Minas              
  1933 3109808   Cachoeira Dourada               
  1934 3109907   Caetanópolis                    
  1935 3110103   Caiana                          
  1936 3110202   Cajuri                          
  1937 3110301   Caldas                          
  1938 3110400   Camacho                         
  1939 3110509   Camanducaia                     
  1940 3110707   Cambuquira                      
  1941 3110806   Campanário                      
  1942 3110905   Campanha                        
  1943 3111002   Campestre                       
  1944 3111101   Campina Verde                   
  1945 3111150   Campo Azul                      
  1946 3111309   Campo do Meio                   
  1947 3111408   Campo Florido                   
  1948 3111507   Campos Altos                    
  1949 3111606   Campos Gerais                   
  1950 3111705   Canaã                           
  1951 3111804   Canápolis                       
  1952 3111903   Cana Verde                      
  1953 3112000   Candeias                        
